base_yaw,shoulder,elbow,wrist_pitch,wrist_roll,gripper
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.000001,0.000001,-0.000001,-0.000000,0.000000,0.000001
0.000001,0.000002,-0.000002,-0.000001,0.000000,0.000002
0.000003,0.000004,-0.000003,-0.000002,0.000000,0.000004
0.000004,0.000006,-0.000005,-0.000003,0.000000,0.000007
0.000006,0.000009,-0.000007,-0.000004,0.000000,0.000010
0.000008,0.000012,-0.000010,-0.000006,0.000000,0.000014
0.000010,0.000015,-0.000013,-0.000008,0.000000,0.000018
0.000013,0.000019,-0.000016,-0.000010,0.000000,0.000022
0.000016,0.000024,-0.000020,-0.000012,0.000000,0.000028
0.000019,0.000029,-0.000024,-0.000014,0.000000,0.000033
0.000023,0.000034,-0.000028,-0.000017,0.000000,0.000040
0.000027,0.000040,-0.000033,-0.000020,0.000000,0.000047
0.000031,0.000046,-0.000039,-0.000023,0.000000,0.000054
0.000036,0.000053,-0.000044,-0.000027,0.000000,0.000062
0.000040,0.000061,-0.000051,-0.000030,0.000000,0.000071
0.000046,0.000068,-0.000057,-0.000034,0.000000,0.000080
0.000051,0.000077,-0.000064,-0.000038,0.000000,0.000090
0.000057,0.000086,-0.000071,-0.000043,0.000000,0.000100
0.000063,0.000095,-0.000079,-0.000047,0.000000,0.000111
0.000070,0.000104,-0.000087,-0.000052,0.000000,0.000122
0.000076,0.000115,-0.000096,-0.000057,0.000000,0.000134
0.000084,0.000125,-0.000104,-0.000063,0.000000,0.000146
0.000091,0.000136,-0.000114,-0.000068,0.000000,0.000159
0.000099,0.000148,-0.000123,-0.000074,0.000000,0.000173
0.000107,0.000160,-0.000133,-0.000080,0.000000,0.000187
0.000115,0.000173,-0.000144,-0.000086,0.000000,0.000201
0.000124,0.000186,-0.000155,-0.000093,0.000000,0.000217
0.000133,0.000199,-0.000166,-0.000100,0.000000,0.000232
0.000142,0.000213,-0.000178,-0.000107,0.000000,0.000249
0.000152,0.000228,-0.000190,-0.000114,0.000000,0.000266
0.000162,0.000243,-0.000202,-0.000121,0.000000,0.000283
0.000172,0.000258,-0.000215,-0.000129,0.000000,0.000301
0.000183,0.000274,-0.000228,-0.000137,0.000000,0.000319
0.000193,0.000290,-0.000242,-0.000145,0.000000,0.000339
0.000205,0.000307,-0.000256,-0.000153,0.000000,0.000358
0.000216,0.000324,-0.000270,-0.000162,0.000000,0.000378
0.000228,0.000342,-0.000285,-0.000171,0.000000,0.000399
0.000240,0.000360,-0.000300,-0.000180,0.000000,0.000420
0.000253,0.000379,-0.000316,-0.000189,0.000000,0.000442
0.000265,0.000398,-0.000332,-0.000199,0.000000,0.000465
0.000279,0.000418,-0.000348,-0.000209,0.000000,0.000487
0.000292,0.000438,-0.000365,-0.000219,0.000000,0.000511
0.000306,0.000459,-0.000382,-0.000229,0.000000,0.000535
0.000320,0.000480,-0.000400,-0.000240,0.000000,0.000560
0.000334,0.000501,-0.000418,-0.000251,0.000000,0.000585
0.000349,0.000523,-0.000436,-0.000262,0.000000,0.000610
0.000364,0.000546,-0.000455,-0.000273,0.000000,0.000637
0.000379,0.000569,-0.000474,-0.000284,0.000000,0.000663
0.000395,0.000592,-0.000493,-0.000296,0.000000,0.000691
0.000411,0.000616,-0.000513,-0.000308,0.000000,0.000719
0.000427,0.000640,-0.000534,-0.000320,0.000000,0.000747
0.000444,0.000665,-0.000554,-0.000333,0.000000,0.000776
0.000460,0.000691,-0.000575,-0.000345,0.000000,0.000806
0.000478,0.000716,-0.000597,-0.000358,0.000000,0.000836
0.000495,0.000743,-0.000619,-0.000371,0.000000,0.000866
0.000513,0.000769,-0.000641,-0.000385,0.000000,0.000898
0.000531,0.000797,-0.000664,-0.000398,0.000000,0.000929
0.000550,0.000824,-0.000687,-0.000412,0.000000,0.000962
0.000568,0.000853,-0.000710,-0.000426,0.000000,0.000995
0.000587,0.000881,-0.000734,-0.000441,0.000000,0.001028
0.000607,0.000910,-0.000759,-0.000455,0.000000,0.001062
0.000627,0.000940,-0.000783,-0.000470,0.000000,0.001096
0.000647,0.000970,-0.000808,-0.000485,0.000000,0.001132
0.000667,0.001000,-0.000834,-0.000500,0.000000,0.001167
0.000688,0.001031,-0.000860,-0.000516,0.000000,0.001203
0.000709,0.001063,-0.000886,-0.000531,0.000000,0.001240
0.000730,0.001095,-0.000912,-0.000547,0.000000,0.001277
0.000752,0.001127,-0.000939,-0.000564,0.000000,0.001315
0.000773,0.001160,-0.000967,-0.000580,0.000000,0.001354
0.000796,0.001194,-0.000995,-0.000597,0.000000,0.001392
0.000818,0.001227,-0.001023,-0.000614,0.000000,0.001432
0.000841,0.001262,-0.001051,-0.000631,0.000000,0.001472
0.000864,0.001296,-0.001080,-0.000648,0.000000,0.001512
0.000888,0.001332,-0.001110,-0.000666,0.000000,0.001554
0.000912,0.001367,-0.001139,-0.000684,0.000000,0.001595
0.000936,0.001404,-0.001170,-0.000702,0.000000,0.001638
0.000960,0.001440,-0.001200,-0.000720,0.000000,0.001680
0.000985,0.001477,-0.001231,-0.000739,0.000000,0.001724
0.001010,0.001515,-0.001262,-0.000757,0.000000,0.001767
0.001035,0.001553,-0.001294,-0.000777,0.000000,0.001812
0.001061,0.001592,-0.001326,-0.000796,0.000000,0.001857
0.001087,0.001631,-0.001359,-0.000815,0.000000,0.001902
0.001113,0.001670,-0.001392,-0.000835,0.000000,0.001948
0.001140,0.001710,-0.001425,-0.000855,0.000000,0.001995
0.001167,0.001751,-0.001459,-0.000875,0.000000,0.002042
0.001194,0.001791,-0.001493,-0.000896,0.000000,0.002090
0.001222,0.001833,-0.001527,-0.000916,0.000000,0.002138
0.001250,0.001875,-0.001562,-0.000937,0.000000,0.002187
0.001278,0.001917,-0.001597,-0.000958,0.000000,0.002236
0.001307,0.001960,-0.001633,-0.000980,0.000000,0.002286
0.001335,0.002003,-0.001669,-0.001002,0.000000,0.002337
0.001365,0.002047,-0.001706,-0.001023,0.000000,0.002388
0.001394,0.002091,-0.001742,-0.001045,0.000000,0.002439
0.001424,0.002136,-0.001780,-0.001068,0.000000,0.002492
0.001454,0.002181,-0.001817,-0.001090,0.000000,0.002544
0.001484,0.002226,-0.001855,-0.001113,0.000000,0.002597
0.001515,0.002272,-0.001894,-0.001136,0.000000,0.002651
0.001546,0.002319,-0.001933,-0.001160,0.000000,0.002706
0.001577,0.002366,-0.001972,-0.001183,0.000000,0.002760
0.001609,0.002414,-0.002011,-0.001207,0.000000,0.002816
0.001641,0.002462,-0.002051,-0.001231,0.000000,0.002872
0.001673,0.002510,-0.002092,-0.001255,0.000000,0.002928
0.001706,0.002559,-0.002132,-0.001279,0.000000,0.002985
0.001739,0.002608,-0.002174,-0.001304,0.000000,0.003043
0.001772,0.002658,-0.002215,-0.001329,0.000000,0.003101
0.001806,0.002708,-0.002257,-0.001354,0.000000,0.003160
0.001839,0.002759,-0.002299,-0.001380,0.000000,0.003219
0.001874,0.002810,-0.002342,-0.001405,0.000000,0.003279
0.001908,0.002862,-0.002385,-0.001431,0.000000,0.003339
0.001943,0.002914,-0.002429,-0.001457,0.000000,0.003400
0.001978,0.002967,-0.002472,-0.001483,0.000000,0.003461
0.002013,0.003020,-0.002517,-0.001510,0.000000,0.003523
0.002049,0.003074,-0.002561,-0.001537,0.000000,0.003586
0.002085,0.003128,-0.002606,-0.001564,0.000000,0.003649
0.002122,0.003182,-0.002652,-0.001591,0.000000,0.003713
0.002158,0.003237,-0.002698,-0.001619,0.000000,0.003777
0.002195,0.003293,-0.002744,-0.001646,0.000000,0.003842
0.002232,0.003349,-0.002791,-0.001674,0.000000,0.003907
0.002270,0.003405,-0.002838,-0.001703,0.000000,0.003973
0.002308,0.003462,-0.002885,-0.001731,0.000000,0.004039
0.002346,0.003519,-0.002933,-0.001760,0.000000,0.004106
0.002385,0.003577,-0.002981,-0.001789,0.000000,0.004173
0.002424,0.003635,-0.003030,-0.001818,0.000000,0.004241
0.002463,0.003694,-0.003079,-0.001847,0.000000,0.004310
0.002502,0.003753,-0.003128,-0.001877,0.000000,0.004379
0.002542,0.003813,-0.003178,-0.001907,0.000000,0.004449
0.002582,0.003873,-0.003228,-0.001937,0.000000,0.004519
0.002623,0.003934,-0.003278,-0.001967,0.000000,0.004590
0.002663,0.003995,-0.003329,-0.001998,0.000000,0.004661
0.002704,0.004057,-0.003380,-0.002028,0.000000,0.004733
0.002746,0.004119,-0.003432,-0.002059,0.000000,0.004805
0.002787,0.004181,-0.003484,-0.002091,0.000000,0.004878
0.002829,0.004244,-0.003537,-0.002122,0.000000,0.004951
0.002872,0.004307,-0.003590,-0.002154,0.000000,0.005025
0.002914,0.004371,-0.003643,-0.002186,0.000000,0.005100
0.002957,0.004436,-0.003696,-0.002218,0.000000,0.005175
0.003000,0.004501,-0.003750,-0.002250,0.000000,0.005251
0.003044,0.004566,-0.003805,-0.002283,0.000000,0.005327
0.003088,0.004632,-0.003860,-0.002316,0.000000,0.005404
0.003132,0.004698,-0.003915,-0.002349,0.000000,0.005481
0.003176,0.004765,-0.003970,-0.002382,0.000000,0.005559
0.003221,0.004832,-0.004026,-0.002416,0.000000,0.005637
0.003266,0.004899,-0.004083,-0.002450,0.000000,0.005716
0.003312,0.004967,-0.004140,-0.002484,0.000000,0.005795
0.003357,0.005036,-0.004197,-0.002518,0.000000,0.005875
0.003403,0.005105,-0.004254,-0.002553,0.000000,0.005956
0.003450,0.005175,-0.004312,-0.002587,0.000000,0.006037
0.003496,0.005244,-0.004370,-0.002622,0.000000,0.006119
0.003543,0.005315,-0.004429,-0.002657,0.000000,0.006201
0.003591,0.005386,-0.004488,-0.002693,0.000000,0.006283
0.003638,0.005457,-0.004548,-0.002729,0.000000,0.006367
0.003686,0.005529,-0.004607,-0.002764,0.000000,0.006450
0.003734,0.005601,-0.004668,-0.002801,0.000000,0.006535
0.003783,0.005674,-0.004728,-0.002837,0.000000,0.006620
0.003831,0.005747,-0.004789,-0.002874,0.000000,0.006705
0.003881,0.005821,-0.004851,-0.002910,0.000000,0.006791
0.003930,0.005895,-0.004913,-0.002948,0.000000,0.006878
0.003980,0.005970,-0.004975,-0.002985,0.000000,0.006965
0.004030,0.006045,-0.005037,-0.003022,0.000000,0.007052
0.004080,0.006120,-0.005100,-0.003060,0.000000,0.007140
0.004131,0.006196,-0.005164,-0.003098,0.000000,0.007229
0.004182,0.006273,-0.005227,-0.003136,0.000000,0.007318
0.004233,0.006350,-0.005291,-0.003175,0.000000,0.007408
0.004285,0.006427,-0.005356,-0.003214,0.000000,0.007498
0.004337,0.006505,-0.005421,-0.003252,0.000000,0.007589
0.004389,0.006583,-0.005486,-0.003292,0.000000,0.007680
0.004441,0.006662,-0.005552,-0.003331,0.000000,0.007772
0.004494,0.006741,-0.005618,-0.003371,0.000000,0.007865
0.004547,0.006821,-0.005684,-0.003410,0.000000,0.007958
0.004601,0.006901,-0.005751,-0.003451,0.000000,0.008051
0.004654,0.006982,-0.005818,-0.003491,0.000000,0.008145
0.004709,0.007063,-0.005886,-0.003531,0.000000,0.008240
0.004763,0.007144,-0.005954,-0.003572,0.000000,0.008335
0.004818,0.007226,-0.006022,-0.003613,0.000000,0.008431
0.004873,0.007309,-0.006091,-0.003654,0.000000,0.008527
0.004928,0.007392,-0.006160,-0.003696,0.000000,0.008624
0.004984,0.007475,-0.006229,-0.003738,0.000000,0.008721
0.005039,0.007559,-0.006299,-0.003780,0.000000,0.008819
0.005096,0.007643,-0.006370,-0.003822,0.000000,0.008917
0.005152,0.007728,-0.006440,-0.003864,0.000000,0.009016
0.005209,0.007814,-0.006511,-0.003907,0.000000,0.009116
0.005266,0.007899,-0.006583,-0.003950,0.000000,0.009216
0.005324,0.007985,-0.006655,-0.003993,0.000000,0.009316
